company,contact_name,email,type,memo
株式会社ユー・エス・イー,,,,メール
株式会社ビッグタウンズ,,info@bigtowns.co.jp,,89
株式会社船井総研ホールディングス,,,,
株式会社スマイルマイスター,,,,102
株式会社シードシステム,,,,87
サンブロードバンド株式会社,,,,本社:愛媛
株式会社システムクレール,,,,担当不在
株式会社サイバーフォートレス,,,,81
株式会社エーピーコミュニケーションズ,,,,メール済
株式会社エイチ・エル・シー,,,,58
株式会社フリーダムランド,,,,7月3日の16時に担当者ヨシムラ様。070-7471-1151到着したら電話してください
株式会社キャリアヴェイル,,,,
アイシーティー・トラスト株式会社,,,,7/8 zoom商談
株式会社コムスクエア,,,,87
株式会社サターンテック,,,,28
株式会社いい生活,,,,116
株式会社イノベーションプラス,,,,
株式会社テクノモバイル,,,,メール送信7/7
株式会社ユーエムイーネッツ,,,,77
株式会社テイパーズ,,,,
日本ディクス株式会社,,,,
株式会社ワークプライムコントラクト,,,,
株式会社ラポールスター,,,,人だしのみ
株式会社コミット,,,,106
株式会社クレスコ,,,,
株式会社コシダテック,,,,25
株式会社リアルネットシステム,,,,
コンピュータ・レスキュー株式会社,,,,
株式会社リヴィティエ,,,,35
Plus_forever株式会社,,,,
グローバルビジネスソリューション株式会社,,,,
株式会社ユーネット,,,,68
株式会社ブロードリーフ,,,,85
日本システムケア株式会社,,,,
株式会社ウィズダム,,,,10/8再度連絡
株式会社リブセンス,,,,
コンピュータリピート株式会社,,,,
株式会社ユー・エス・エル,,,,84
株式会社システム情報センター,,,,39
株式会社グッド・フィール,,,,
株式会社エスユーエス,,,,
株式会社USD,,,,75
株式会社クルーク,,,,メール済
株式会社スペースキー,,,,131
株式会社ヴィズリアラーニング,,,,129
株式会社京葉,,,,受付NG
株式会社キャリアジャパン,,,,メール済
株式会社アクシスデザイン,,,,
銀河ソフトウェア株式会社,,,,アポ済
株式会社ランコムシステムズテクノロジー,,,,58
株式会社タイムインターメディア,,,,担当 オオタ様
株式会社コンフィデンス,,,,2
株式会社ベリサーブ,,,,
株式会社セレッテ,,,,18
株式会社メガ・テクノロジー,,,,担当不在
株式会社エイペック,,,,×
株式会社ドキドキグルーヴワークス,,,,
アルサーガパートナーズ株式会社,,,,4/10
株式会社リンケージ,,,,47
株式会社BASIS,,info@e-basis.co.jp,,mail 5/14
株式会社ディレクターズ,,,,9
株式会社コモドソリューションズ,,,,72
株式会社VOICE,,,,45
にっぽんマルシェ通信株式会社,,,,
原本株式会社,,,,2/5
株式会社IRRobotics,,,,55
株式会社アーバン・ウェブ,,,,15
株式会社デンケン,,,,92
株式会社自動計測,,,,
株式会社てくのろ,,,,HP情報なし
株式会社ベインキャリージャパン,,,SES,SESの協業は今募集してない
株式会社クリエイト・マンパワーサービス,,,,IT派遣サイト
株式会社バードネットワークス,,,,
株式会社助太刀,,,,
株式会社ブックルックチーム,,,,48
株式会社サイサン,,,,110
株式会社ラズライン,,,,2
日本エンジニアリングソリューションズ株式会社,,,,
新日本テクトス株式会社,,,,
株式会社ティスメ,,,,
日本企画株式会社,,,,
株式会社ブレーンナレッジシステムズ,,,,
株式会社エスプール,,,,
株式会社オールフォーエスピー,,,,×
株式会社ブレイントラスト,,,,10
株式会社リアファクトリー,,,,
株式会社レグルカセ,,,,
株式会社トレックス,,,,
株式会社テンプレイト,,,,担当不在
株式会社ストーンシステム,,,,×
株式会社横芝,,,,
株式会社エイシス,,,,69
株式会社テクノエージェント,,,,Twitter
富士通エフサス・カスタマサービス株式会社,,,,
株式会社コンテンツワン,,,,
株式会社エム・アイ・ピー,,,,
株式会社ヴィジョナリー,,,,×
株式会社エフ・ディー・シー,,,,メール済
有限会社カトウシステムプランニング,,,,
日本システム・エイト株式会社,,,,アポ○
株式会社ビジネスコム・システム,,,,
株式会社イーゼ,,,,
株式会社エディックワークス,,,,
アルファパートナーズ株式会社,,,,メール送信済
株式会社ウェブレッジ,,,,担当が休み、月曜日に電話
株式会社ユースリー,,,,71
株式会社テクノレーガ,,,,
アイムファクトリー株式会社,,,,tasaki@aim-factory.com
株式会社ユーフォリア,,,,ITではない
株式会社コスモピア,,,,2　人材派遣
株式会社ラック,,,,
株式会社ワンズコーポレーション,,,,41
関東情報サービス株式会社,,,,
株式会社ファースト・トラック,,,,担当 サカタ様
株式会社網屋,,,,×
川研ファインケミカル株式会社,,,,
株式会社スペース,,,,135
株式会社UpJapan,,,,現在使われていない
富士ネットシステムズ株式会社,,,,
株式会社フォーティス,,,,
株式会社スータブル・ソリューションズ,,,,
株式会社ティ・ティ・ワン,,,,37
株式会社トランザクション・メディア・ネットワークス,,,,
株式会社サイバーディフェンス研究所,,,,89
株式会社ヒューマンテック,,,SES,
株式会社デルタソリューションズ,,,,
株式会社ジー・コミュニケーション,,,,45
株式会社フロイント,,,,担当不在。会議中なのでまた後日とのこと
株式会社エイ・ヴォーチェ,,,,アポ○
株式会社シ・エム・シ,,,,64
株式会社コムネックス,,,,82
