company_name,capital,location,source,crawl_date
Adapt,"1,000万",,ses_beginner,2026-07-02
Dexall,記載なし,,ses_beginner,2026-07-02
ＮＳサービス,"1,000万",,ses_beginner,2026-07-02
ビレッジ,記載なし,,ses_beginner,2026-07-02
ズットモ,"1,000万",,ses_beginner,2026-07-02
アクリオ,500万,,ses_beginner,2026-07-02
Zero Networks,記載なし,,ses_beginner,2026-07-02
メディアリレーション,記載なし,,ses_beginner,2026-07-02
IROHA,記載なし,,ses_beginner,2026-07-02
こだわり,記載なし,,ses_beginner,2026-07-02
イー・スタジオ,記載なし,,ses_beginner,2026-07-02
ジーフロンティア,記載なし,,ses_beginner,2026-07-02
アンテナアート,記載なし,,ses_beginner,2026-07-02
ユーアイ,記載なし,,ses_beginner,2026-07-02
ON,記載なし,,ses_beginner,2026-07-02
アンドロボブレイン,記載なし,,ses_beginner,2026-07-02
アンドロボット,記載なし,,ses_beginner,2026-07-02
Androbo Nexus,記載なし,,ses_beginner,2026-07-02
Androbo Quick,記載なし,,ses_beginner,2026-07-02
アンドロボコアソリューションズ,記載なし,,ses_beginner,2026-07-02
V ANDROBO,記載なし,,ses_beginner,2026-07-02
アンドロボウェブサービス,記載なし,,ses_beginner,2026-07-02
アンドロボコアテクノロジー,記載なし,,ses_beginner,2026-07-02
アンドロボフルートシステム,記載なし,,ses_beginner,2026-07-02
アンドロボディオーナ,記載なし,,ses_beginner,2026-07-02
アンドロボティクス,記載なし,,ses_beginner,2026-07-02
アイスプリング,記載なし,,ses_beginner,2026-07-02
キャレオ,記載なし,,ses_beginner,2026-07-02
クロスメディア,記載なし,,ses_beginner,2026-07-02
ジョブイン,記載なし,,ses_beginner,2026-07-02
ツー・バイ・ツー,記載なし,,ses_beginner,2026-07-02
ユーフォリア,記載なし,,ses_beginner,2026-07-02
ライズ,記載なし,,ses_beginner,2026-07-02
亜細亜情報システム,記載なし,,ses_beginner,2026-07-02
司コンピュータ,記載なし,,ses_beginner,2026-07-02
