company_name,employment_type,base_salary_monthly,incentive_description,incentive_rate_pct,incentive_base,incentive_type,incentive_cap,expected_annual_min,expected_annual_max,has_quota,required_experience,employee_count,founded_year,hq_location,remote_policy,notes,source_url,crawl_date,data_source
株式会社ブレイカーズ,正社員,,【還元率の高さ】…最大77％の還元率 ・未経験者：23万円～＋その他インセンティブ＋超過残業代＋交通費 ・経験者　：30万円～60万円＋その他インセンティブ インセンティブ（受注した案件によって変動。1件当たり3万円から15万円支給。年間合計100万円以上の実績の社員もいます。） 【実務経験半年～OK】エンジニア｜高還元率×案件豊富｜キャリアの幅を広げる環境｜一次請け案件が中心,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/8068168/,2026-07-01,phase3_llm
株式会社ウェルスペック,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/17431396/,2026-07-01,phase3_llm
株式会社Growship,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/15697472/,2026-07-01,phase3_llm
株式会社TERRA,正社員,,,,不明,不明,上限なし,,,なし,未経験可,,,,不明,,https://en-gage.net/user/search/desc/11104833/,2026-07-01,phase3_llm
株式会社エイビス,正社員,,不動産賃貸業◎未経験OK／高水準のインセンティブあり／入社1年目で年収500万円～1000万円も可！ 【８割が未経験の業界】◎歩合で収入UP◎キャリアアップ歓迎 ◎週休3日もOK◎アウトソーシング営業,,不明,不明,不明,,,なし,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/16662069/,2026-07-01,phase3_llm
株式会社フレッシー,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/3308443/,2026-07-01,phase3_llm
株式会社Necmos,正社員,,業界最高水準の還元率を実現しております。 【業界初】上昇還元率制により、 成長=還元率Upを実現 📌【Point 1】給与は業界最高水準！還元率83～93.3% 成長 = 還元率UP 「上昇還元率制」 会社利益は一律10万円、残りはエンジニアへ還元。単価が上がれば、還元率も上がるモチベーションアップの評価制度。 上昇還元率制とは 会社利益は一律10万円、残りはエンジニアへ還元 Necmosでは、会社がもらう利益は一律で月10万円だけと決めており、それ以外はすべてエンジニアに還元。だから、自分の働きがどれだけの価値を生んでいるかが明確で、納得感を持って働けます。 会社利益が一律で固定されているため、単価が上がると、この固定額の割合が減る分、自身の還元率が高まる仕組みになっています。,,不明,不明,不明,,,不明,未経験可,,,,フルリモート,,https://en-gage.net/user/search/desc/13533761/,2026-07-01,phase3_llm
株式会社の,正社員,,＊賞与・インセンティブあり（業績による）,,不明,不明,不明,,,なし,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/15156719/,2026-07-01,phase3_llm
株式会社スカイセンス,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/17027111/,2026-07-01,phase3_llm
株式会社の,正社員,,✅最大30％の高インセンティブ率！ 賞与(インセンティブ)支給月：6月、12月 ＼裁量大×高インセンティブ／住宅ローンの提案営業｜年収1000万円以上可｜成果は青天井｜賞与年3回,,不明,不明,上限なし,,,不明,未経験可,,,,不明,,https://en-gage.net/user/search/desc/15458350/,2026-07-01,phase3_llm
株式会社の,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,フルリモート,,https://en-gage.net/user/search/desc/15683690/,2026-07-01,phase3_llm
合同会社ReBuild,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,不明,,https://en-gage.net/user/search/desc/14155800/,2026-07-01,phase3_llm
株式会社クレス,正社員,,その他、月々の給与の他に営業インセンティブ制度有,,不明,不明,不明,6000000.0,10000000.0,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/11124940/,2026-07-01,phase3_llm
株式会社よかわん,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/16012433/,2026-07-01,phase3_llm
合同会社FYB,正社員,,求人TOP 求人検索 東京都の求人 調布市の求人 SES営業／経験者募集／完全在宅／週2日～・1日2h～OK／成果に応じてインセンティブ支給 求人TOP 求人検索 合同会社FYB SES営業／経験者募集／完全在宅／週2日～・1日2h～OK／成果に応じてインセンティブ支給 SES営業／経験者募集／完全在宅／週2日～・1日2h～OK／成果に応じてインセンティブ支給 ■成果をしっかり還元 時給に加えてインセンティブ制度あり。 時給：1250円以上＋ 成果報酬（インセン）あり,,不明,不明,不明,,,不明,未経験可,,,,フルリモート,,https://en-gage.net/user/search/desc/17165538/,2026-07-01,phase3_llm
株式会社サンソフト,正社員,,求人TOP 求人検索 東京都の求人 中央区の求人 【IT営業／SES営業】土日祝休み｜在宅制度｜インセンティブあり 求人TOP 求人検索 株式会社サンソフト 【IT営業／SES営業】土日祝休み｜在宅制度｜インセンティブあり 【IT営業／SES営業】土日祝休み｜在宅制度｜インセンティブあり ・インセンティブ制度あり,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/17406595/,2026-07-01,phase3_llm
合同会社ダイク・カンパニー,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/17279237/,2026-07-01,phase3_llm
株式会社の採用・求人情報,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/6673613/,2026-07-01,phase3_llm
株式会社コアシンク,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/14906008/,2026-07-01,phase3_llm
株式会社ユニコーンテクノロジー,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/4783194/,2026-07-01,phase3_llm
株式会社システム・コミュニケート,正社員,,キャリアアドバイザー募集【新規事業展開中！高額インセンティブ】あなたも仲間に入りませんか？,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/17108010/,2026-07-01,phase3_llm
株式会社一,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/14727541/,2026-07-01,phase3_llm
株式会社テイクス,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/17008433/,2026-07-01,phase3_llm
株式会社キャリアブロックス,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/10555197/,2026-07-01,phase3_llm
株式会社ガトラボ,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/12912902/,2026-07-01,phase3_llm
株式会社生和,正社員,,,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/10675541/,2026-07-01,phase3_llm
株式会社ワンウェブ,正社員,,※単価連動型(高還元)となっており、前職給料を考慮し、,,不明,不明,不明,,,不明,未経験可,,,,ハイブリッド,,https://en-gage.net/user/search/desc/15487347/,2026-07-01,phase3_llm
株式会社ピイアイシイ,正社員,,【経験者募集】システムエンジニア（Web・オープン系）◆案件選択制度有／還元率80％以上／リモート可,,不明,不明,不明,,,不明,,,,,ハイブリッド,,https://en-gage.net/user/search/desc/4723569/,2026-07-01,phase3_llm
